update,transitions,high_reward_mean,high_reward_sum,duration_mean,detected_targets_mean,visited_targets_mean,retired_agents_mean,success_rate,entropy_reduction_mean,actor_explore_actions,actor_target_actions,actor_invalid_actions,actor_nonfinite_logits,actor_valid_target_actions,policy_loss,value_loss,entropy,approx_kl,clip_fraction
54,1082,1.9291731119155884,2087.365234375,11.542513847351074,2.203125,1.890625,1.890625,0.140625,2466.9365234375,956,126,0,0,126,-0.004723185207694769,40.85403060913086,1.408528447151184,0.00013172424223739654,0.0
55,973,1.9690710306167603,1915.906005859375,12.300103187561035,2.0625,1.796875,1.796875,0.078125,2234.692138671875,853,120,0,0,120,-0.0005125631578266621,39.86836624145508,1.394517183303833,1.579041600052733e-05,0.0
56,1021,1.9652750492095947,2006.5458984375,11.895200729370117,2.015625,1.84375,1.84375,0.140625,2424.263671875,902,119,0,0,119,-5.444791167974472e-05,43.801231384277344,1.4095354080200195,1.096481537388172e-05,0.0
57,1010,1.9501590728759766,1969.66064453125,11.987128257751465,2.09375,1.828125,1.828125,0.09375,2378.1630859375,891,119,0,0,119,-0.00028658914379775524,39.481685638427734,1.4119794368743896,5.415263331087772e-06,0.0
58,1047,1.6718966960906982,1750.475830078125,12.053485870361328,1.9375,1.640625,1.640625,0.09375,2472.69921875,937,110,0,0,110,-0.014469501562416553,40.071250915527344,1.4416427612304688,3.7992467696312815e-06,0.0
59,979,1.981790542602539,1940.1728515625,12.655771255493164,2.125,1.8125,1.8125,0.078125,2404.83203125,860,119,0,0,119,0.0005889015737921,41.63093185424805,1.4083280563354492,1.0793967248901026e-06,0.0
60,1065,1.7280638217926025,1840.387939453125,12.250703811645508,1.984375,1.71875,1.71875,0.09375,2520.2060546875,946,119,0,0,119,0.004363505635410547,38.456111907958984,1.4099456071853638,6.776236114092171e-05,0.0
61,1033,1.9285149574279785,1992.1558837890625,11.914811134338379,2.0625,1.828125,1.828125,0.125,2403.951171875,914,119,0,0,119,0.004598736763000488,39.76142120361328,1.4144964218139648,4.792609252035618e-05,0.0
62,977,2.2768354415893555,2224.46826171875,12.180143356323242,2.140625,1.984375,1.984375,0.171875,2368.146484375,845,132,0,0,132,-0.000969497486948967,51.453407287597656,1.3924560546875,1.2065172995789908e-05,0.0
63,1017,1.898938775062561,1931.220703125,12.196657180786133,1.96875,1.796875,1.796875,0.109375,2407.3310546875,900,117,0,0,117,0.00017230934463441372,41.284603118896484,1.4161393642425537,9.377161404700018e-06,0.0
64,977,2.0095038414001465,1963.2852783203125,12.440122604370117,2.0,1.8125,1.8125,0.109375,2358.608642578125,859,118,0,0,118,-0.00012505915947258472,40.776920318603516,1.4087026119232178,1.9529517885530367e-05,0.0
65,978,2.0004124641418457,1956.4033203125,12.456032752990723,2.0625,1.828125,1.828125,0.078125,2364.75732421875,859,119,0,0,119,-0.0008701609913259745,37.411380767822266,1.408345341682434,2.6658206479623914e-05,0.0
66,952,1.9868139028549194,1891.44677734375,12.514705657958984,1.984375,1.78125,1.78125,0.09375,2314.935546875,836,116,0,0,116,-0.0036277153994888067,40.23616027832031,1.4116266965866089,2.000675340241287e-05,0.0
67,983,1.9615153074264526,1928.1695556640625,12.460834503173828,2.046875,1.828125,1.828125,0.03125,2404.658203125,862,121,0,0,121,-0.0005198615835979581,35.93513488769531,1.4086368083953857,4.154080670559779e-05,0.0
68,967,2.052838087081909,1985.094482421875,12.341261863708496,2.09375,1.859375,1.859375,0.0625,2296.5908203125,843,124,0,0,124,-0.0015412855427712202,39.865257263183594,1.3949319124221802,8.23811351438053e-05,0.0
69,998,1.9803529977798462,1976.3922119140625,12.144289016723633,2.046875,1.8125,1.8125,0.140625,2416.264404296875,878,120,0,0,120,-0.000859271502122283,41.98625564575195,1.407397985458374,0.00013763358583673835,0.0005144032766111195
70,1040,1.7770224809646606,1848.1033935546875,12.058653831481934,2.03125,1.765625,1.765625,0.046875,2401.221435546875,923,117,0,0,117,0.016566837206482887,34.13853073120117,1.41145658493042,0.00011500381515361369,0.00032552084303461015
